Model,Parameters,Best_Accuracy,Final_Accuracy,Top_1_Accuracy,Top_3_Accuracy,Top_5_Accuracy,Training_Time_Minutes,Error_Rate,Total_Errors,Total_Samples,Avg_Confidence_Correct,Avg_Confidence_Incorrect,Confidence_Gap,High_Confidence_Errors,Accuracy_Drop,Parameters_Million,Errors_Per_Minute
LeNet,9594494,97.28385968142896,97.2470306601602,97.2470306601602,99.74219685111868,99.9079274468281,57.51263257265091,2.752969339839794,299,10861,0.9873046875,0.751953125,0.2353515625,132,0.03682902126875831,9.594494,5.198857826970419
SimpleCNN,1739686,99.50280821287174,99.48439370223737,99.48439370223736,99.98158548936561,99.9907927446828,59.79295483827591,0.5156062977626448,56,10861,0.99609375,0.77783203125,0.21826171875,27,0.01841451063437205,1.739686,0.9365651881808676
AlexNet,57159526,95.49765214989412,95.49765214989412,95.49765214989412,99.5488444894577,99.84347665960776,57.63136403958003,4.502347850105878,489,10861,0.9658203125,0.69482421875,0.27099609375,165,0.0,57.159526,8.48496314722249
ResNet18,11317606,99.41994291501703,99.41073565969984,99.41073565969984,99.95396372341405,99.96317097873124,59.23631480534871,0.5892643403001614,64,10861,0.998046875,0.8125,0.185546875,38,0.00920725531719313,11.317606,1.080418324642659
ResNet34,21425766,99.31866310652795,99.30024859589356,99.30024859589356,99.94475646809687,99.95396372341405,84.25418118635814,0.6997514041064363,76,10861,0.99755859375,0.82373046875,0.173828125,47,0.01841451063438626,21.425766,0.9020323849791967
ResNet50,24042342,99.45677193628579,99.4475646809686,99.4475646809686,99.93554921277968,99.95396372341405,131.99645924568176,0.5524353190314031,60,10861,0.99755859375,0.81884765625,0.1787109375,36,0.00920725531719313,24.042342,0.45455764755267775
MobileNetV2,2899238,99.13451800018414,99.13451800018414,99.13451800018414,99.92634195746248,99.98158548936561,74.2561104774475,0.8654819998158558,94,10861,0.99560546875,0.8017578125,0.19384765625,52,0.0,2.899238,1.265889088394267
MobileNetV3Small,1551188,99.48439370223737,99.36469938311389,99.3646993831139,99.96317097873124,99.96317097873124,60.292189598083496,0.6353006168860986,69,10861,0.99853515625,0.83447265625,0.1640625,45,0.11969431912348227,1.551188,1.1444268396945614
ShuffleNetV2,1292554,99.56725900009208,99.5396372341405,99.5396372341405,99.95396372341405,99.98158548936561,60.81629042228063,0.4603627658595002,50,10861,0.998046875,0.80322265625,0.19482421875,28,0.02762176595157939,1.292554,0.8221481391387532
EfficientNetB0,4682914,99.48439370223737,99.38311389374827,99.38311389374827,99.94475646809687,99.97237823404843,108.75611405769983,0.6168861062517266,67,10861,0.998046875,0.82373046875,0.17431640625,41,0.10127980848909601,4.682914,0.6160573185288102
DenseNet121,7498150,99.61329527667802,99.58567351072645,99.58567351072645,99.94475646809687,99.96317097873124,152.38587489128113,0.41432648927354876,45,10861,0.99853515625,0.84423828125,0.154296875,29,0.02762176595156518,7.49815,0.295302960540831
InceptionV3,1158662,99.61329527667802,99.59488076604364,99.59488076604364,99.97237823404843,99.98158548936561,67.16092856327693,0.40511923395635563,44,10861,0.99755859375,0.783203125,0.21435546875,22,0.01841451063437205,1.158662,0.655142818023199
