True_Class,Predicted_Class,Count
True_Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus,12709
True_Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening),12685
True_Soybean___healthy,Soybean___healthy,12404
True_Tomato___Bacterial_spot,Tomato___Bacterial_spot,5090
True_Peach___Bacterial_spot,Peach___Bacterial_spot,5040
True_Tomato___Late_blight,Tomato___Late_blight,4718
True_Squash___Powdery_mildew,Squash___Powdery_mildew,4547
True_Tomato___Septoria_leaf_spot,Tomato___Septoria_leaf_spot,4297
True_Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite,3939
True_Apple___healthy,Apple___healthy,3920
True_Tomato___healthy,Tomato___healthy,3782
True_Blueberry___healthy,Blueberry___healthy,3676
True_Grape___Esca_(Black_Measles),Grape___Esca_(Black_Measles),3675
"True_Pepper,_bell___healthy","Pepper,_bell___healthy",3468
True_Tomato___Target_Spot,Tomato___Target_Spot,3349
True_Grape___Black_rot,Grape___Black_rot,2870
True_Corn_(maize)___healthy,Corn_(maize)___healthy,2843
True_Corn_(maize)___Common_rust_,Corn_(maize)___Common_rust_,2801
True_Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Leaf_blight_(Isariopsis_Leaf_Spot),2760
True_Potato___Early_blight,Potato___Early_blight,2582
True_Potato___Late_blight,Potato___Late_blight,2506
True_Strawberry___Leaf_scorch,Strawberry___Leaf_scorch,2503
True_Cherry_(including_sour)___Powdery_mildew,Cherry_(including_sour)___Powdery_mildew,2459
True_Tomato___Leaf_Mold,Tomato___Leaf_Mold,2124
True_Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Northern_Leaf_Blight,2090
"True_Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot",2089
True_Cherry_(including_sour)___healthy,Cherry_(including_sour)___healthy,2087
True_Tomato___Early_blight,Tomato___Early_blight,2057
True_Apple___Black_rot,Apple___Black_rot,1518
True_Apple___Apple_scab,Apple___Apple_scab,1516
True_Strawberry___healthy,Strawberry___healthy,1183
True_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,1175
True_Grape___healthy,Grape___healthy,989
True_Peach___healthy,Peach___healthy,861
True_Raspberry___healthy,Raspberry___healthy,859
True_Tomato___Tomato_mosaic_virus,Tomato___Tomato_mosaic_virus,838
True_Apple___Cedar_apple_rust,Apple___Cedar_apple_rust,546
True_Potato___healthy,Potato___healthy,364
True_Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Corn_(maize)___Northern_Leaf_Blight,134
True_Corn_(maize)___Northern_Leaf_Blight,Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,93
True_Tomato___Early_blight,Tomato___Late_blight,43
True_Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,37
True_Tomato___Late_blight,Potato___Late_blight,32
True_Apple___healthy,Blueberry___healthy,29
True_Tomato___Late_blight,Tomato___Early_blight,27
True_Tomato___Early_blight,Tomato___Target_Spot,24
True_Apple___Apple_scab,Apple___Black_rot,24
True_Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite,23
True_Grape___Esca_(Black_Measles),Grape___Black_rot,20
True_Apple___healthy,Soybean___healthy,20
