Class,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
Apple___Apple_scab,128,2,4,10727,0.9846153846153847,0.9696969696969697,0.9770992366412214
Apple___Black_rot,127,4,0,10730,0.9694656488549618,1.0,0.9844961240310077
Apple___Cedar_apple_rust,46,0,1,10814,1.0,0.9787234042553191,0.989247311827957
Apple___healthy,329,2,5,10525,0.9939577039274925,0.9850299401197605,0.9894736842105264
Blueberry___healthy,307,1,1,10552,0.9967532467532467,0.9967532467532467,0.9967532467532467
Cherry_(including_sour)___Powdery_mildew,206,2,0,10653,0.9903846153846154,1.0,0.9951690821256038
Cherry_(including_sour)___healthy,174,2,2,10683,0.9886363636363636,0.9886363636363636,0.9886363636363636
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,98,6,12,10745,0.9423076923076923,0.8909090909090909,0.9158878504672897
Corn_(maize)___Common_rust_,234,1,0,10626,0.9957446808510638,1.0,0.9978678038379531
Corn_(maize)___Northern_Leaf_Blight,177,11,6,10667,0.9414893617021277,0.9672131147540983,0.954177897574124
Corn_(maize)___healthy,237,3,0,10621,0.9875,1.0,0.9937106918238994
Grape___Black_rot,239,3,2,10617,0.987603305785124,0.991701244813278,0.9896480331262941
Grape___Esca_(Black_Measles),306,3,2,10550,0.9902912621359223,0.9935064935064936,0.9918962722852512
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),230,0,1,10630,1.0,0.9956709956709957,0.9978308026030369
Grape___healthy,83,1,0,10777,0.9880952380952381,1.0,0.9940119760479043
Orange___Haunglongbing_(Citrus_greening),1057,0,1,9803,1.0,0.999054820415879,0.9995271867612293
Peach___Bacterial_spot,422,0,1,10438,1.0,0.9976359338061466,0.9988165680473373
Peach___healthy,72,0,0,10789,1.0,1.0,1.0
"Pepper,_bell___Bacterial_spot",175,1,1,10684,0.9943181818181818,0.9943181818181818,0.9943181818181818
"Pepper,_bell___healthy",289,1,3,10568,0.996551724137931,0.9897260273972602,0.9931271477663229
Potato___Early_blight,216,0,0,10645,1.0,1.0,1.0
Potato___Late_blight,211,3,2,10645,0.985981308411215,0.9906103286384976,0.9882903981264637
Potato___healthy,31,0,0,10830,1.0,1.0,1.0
Raspberry___healthy,72,0,0,10789,1.0,1.0,1.0
Soybean___healthy,1036,5,1,9819,0.9951969260326609,0.9990356798457087,0.9971126082771896
Squash___Powdery_mildew,380,1,0,10480,0.9973753280839895,1.0,0.9986859395532194
Strawberry___Leaf_scorch,209,1,1,10650,0.9952380952380953,0.9952380952380953,0.9952380952380953
Strawberry___healthy,99,0,0,10762,1.0,1.0,1.0
Tomato___Bacterial_spot,427,0,1,10433,1.0,0.9976635514018691,0.9988304093567251
Tomato___Early_blight,175,1,6,10679,0.9943181818181818,0.9668508287292817,0.9803921568627451
Tomato___Late_blight,400,3,5,10453,0.9925558312655087,0.9876543209876543,0.9900990099009901
Tomato___Leaf_Mold,178,1,2,10680,0.994413407821229,0.9888888888888889,0.9916434540389972
Tomato___Septoria_leaf_spot,362,2,3,10494,0.9945054945054945,0.9917808219178083,0.9931412894375857
Tomato___Spider_mites Two-spotted_spider_mite,331,1,4,10525,0.9969879518072289,0.9880597014925373,0.9925037481259371
Tomato___Target_Spot,283,5,1,10572,0.9826388888888888,0.9964788732394366,0.9895104895104896
Tomato___Tomato_Yellow_Leaf_Curl_Virus,1060,1,1,9799,0.9990574929311969,0.9990574929311969,0.9990574929311969
Tomato___Tomato_mosaic_virus,70,0,0,10791,1.0,1.0,1.0
Tomato___healthy,316,2,0,10543,0.9937106918238994,1.0,0.9968454258675079
